id,text,defense_AH,support_AH,offense_AH,defense_against_AH
21,Amber Heard is Woman of the Year 2020 at number 7 - She took on one of Hollywood’s most powerful men – her ex-husband Johnny Depp – in a libel case that exposed the horrifying depth of domestic abuse she suffered during their two-year marriage. She’s admirable.,1,1,0,0
22,She's tough and loves ice cream 😍,0,1,0,0
23,"We support Amber Heard. She won. What more evidence does a woman need? ""$1.25 million: Payoff Depp allegedly gave to his first wife, Lori Allen, to keep her from releasing a ranting message in which he repeatedly used the N-word.”",1,1,0,0
24,12 Occasions a U.K. judge ruled that “Depp did indeed assault Amber�,1,1,0,0
25,Amber is a brave woman who always motivates me. I always have your back!,1,1,0,0
26,The most beautiful woman in the world.,0,1,0,0
27,You were so freakin hot in aquaman.,0,1,0,0
28,You inspire me every day.,0,1,0,0
29,Hope you will be back in aquaman 2 🙏.,0,1,0,0
30,You mean so much to me and I'm happy that you exist ♥️,0,1,0,0
31,Can we please just support women? When Amber Heard divorced Depp she immediately released a statement explaining that she would contribute the entire $7 million to charity (Forbes):,1,1,0,0
32,"As described in the restraining order and divorce settlement, money played no role for me personally and never has, except to the extent that I could donate it to charity and, in doing so, hopefully help those less able to defend themselves...
The $7 million will be split between two charities",1,1,0,0
33,"I love you, Amber. You are the best actress, I am with you. i am so happy that the cutest person in the world then Amber, participate in aquaman 2❤ #justiceforamberheard. I love Amber Heard always",1,1,0,0
34,I don't know why so many people are against amber she deserves to be in aquaman especially everything she been through,1,1,0,0
35," We love you Amber! Karen Ingala Smith, CEO of domestic violence charity Nia, praised Amber Heard’s courage, saying: “I would like to acknowledge the bravery of Heard in naming the abuse that she was subjected to.” We are so proud of you.. You are our real life superhero",1,1,0,0
36,"The Harry Walker Agency, based in New York, describes Amber Heard as ‘an outspoken advocate for women’s rights and for the civil rights of survivors of all gender-based violence’. At this rate, Amber could end up even richer than her violent ex. #JusticeForAmberHeard",1,1,0,0
37,"I grew up having a big crush on amy adams, i knew that there will be no other girl that will look like her, and then i saw you in the movie ""the ward"" god was i impressed, you look like her and even more younger. it's amazing, i just found about you like a week ago so someday you'll get that 5 star i'm sure.",0,1,0,0
38,"The light that shines within you bring so much delight, inspiration and charisma in the world you created where we are all now connected. Thanks for sharing your beauty, light and love. Cheers!",0,1,0,0
39,I like Amber Heard a lot :),1,1,0,0
40,Super actress ! ! !,1,1,0,0
41,"Amber Heard is the best actor and a leader for human rights. Truly, I love knowing that no matter how hard JD stans try to portray him as an innocent victim, the entire industry knows he’s an abusive loser. Maybe instead of manipulating evidence, his bot army can focus on getting him a job",1,1,0,0
42,love you ok??? 4ever,0,1,0,0
43,please block these people,1,1,0,0
44,Cyber Civil Rights in the Time of COVID-19,1,1,0,0
45,Love u,0,1,0,0
46,ignore the negative messages and focus on the good ones! you’re loved and i couldn’t be more proud to have you as my role model. welcome back to twitter queen,1,1,0,0
47,Said the bot,1,0,0,0
48,They probably have problems in their life so they spend all their time under your posts or talking about you. Just block em. We are with you,1,1,0,0
49,Staying silent isn't an option.,1,0.5,0,0
50,"So important but unfortunately this will only speak to the echo chamber. Those who most need to read it never will, at least not before already making their mind up.",0.2,0.2,0,0
51,Welcome back ,0,1,0,0
52,We love you Amber and Welcome back. ,0,1,0,0
54,This is brilliant amber I see what you did there Hahahah. Genius!!!!!,0,1,0,0
55,"Amber, you are the greatest event of my life. I love you from all my being",0,1,0,0
57,Gotta love the trolls using abusive behavior to call a someone else an abuser.  Make you wonder how many of these ppl support the ultimate abuser Trump,1,1,0,0
58,I love you just the way you are Amber!,1,1,0,0
59,"You are my whole world, you are the love of my existence",0,1,0,0
60,Thank you for pointing this out Amber,0,1,0,0
61,It is in such moments as that of 'stay at home' that we realize that there is still a long way to go so that our civil rights in a virtual space are protected with the same rigor as those that we enjoy in a physical space. Since the growth of social media and their rules,0.3,0,0,0
62,"not strict and protective enough against online harassment and other abuses, the internet is an insecure space because it is difficult to discipline and regulate.  Again, thank you for sharing this article and all those you have previously shared with us.",1,0.5,0,0
63,Amber g u marry me,0,1,0,0
64,"U kno wtf, the females went thru to get where we at.  #Surrogate I believe! N I believe when it comes down to it, it's always about US FEMALES. Facts!",0.5,0,0,0
65,I wrote a song about my #metoo  story. I am tired of being silenced. I hope you listen ,0.5,0.2,0,0
66,#Ibelieveher,1,1,0,0
67,Help my voice to be heard. You can make a difference and bring my aggressor to justice.  thank you    #bemyvoice #belivewomen #YesAllWomen #HearMeToo #notonemore  #endVAW #orangetheworld  #nomas #letsmakesomenoise #RT ,0.5,0.5,0,0
68,Estoy de acuerdo contigo amber   Deben darse a conocer todos los datos para que ocurra un importante cambio en la sociedad nada debe ocultarse  Muchas gracias amber por todo tu trabajo y esfuerzo siempre tendras mi apoyo ,0,1,0,0
69,This is great to support #AmberHeard! We support too even we are not known.. She does great #humanitarian work!,1,1,0,0
70,"#Mob Effect.... transcript shows Amber’s replies w reason when Depp is projecting, not reasonable. Crime scene?  Don’t feed #mobs or let them continue",1,1,0,0
71,"I hope #AmberHeard is SAFE during this latest #mob effect...!!!  ... some of them go through #cyberbully mesh to go further in threats. Emails, calls  She’s one woman who did tons of #philanthropy over years and pointless to punish her  Not rational. #No  @thebullyblocker",1,1,0,0
72,"This is more #POSITIVE and it's #MotivationalMonday!!! Each view & signature matters because it's 40 sponsors versus 4,000 (tens of thousands spent on tabloid hateful petition versus one that's #GoTeam!!)  #Motivation #AmberHeard #UnitedNations",1,1,0,0
73,"The dangerous #MOBS online is something to consider... In the future, it will go back to the #moderator of the forum removing #cyberbullying - not to flame for-profit mobbing or online lynching...  Yet, even better with #AI and #MachineLearning - not an online pitch fork virus.",1,0.5,0,0
74,"THIS is the Better Story to any #reporter out there:  #AmberHeard should defend as larger victim. #DC #WB #MelissaBenoist was able to w support, not mobs  #BeTheChange: Melissa Benoist (#Supergirl) and Amber Heard (#Mera) - They’re NOT Bulletproof",1,1,0,0
75,"There was a rumor for a #Mera Spinoff - YouTuber biased  E.g.: Ignoring when she tells him he doesn't use Olive Branch, he doesn't leave the house & that doesn't de-escalate the fights.. he wanted safety, security.. The words not shown from #amberheard  #WomenInTech #WomenWhoCode",1,1,0,0
76,"The hatred and #cyberbullying #discrimination of #AmberHeard online is so obscene  It's like looking at a stream of threats and thinking, ""Do leave this person breathing by #defending them?""  That's how disturbing and dramatic it is.",1,1,0,0
77,stand by you,0,1,0,0
78,We Support #AmberHeard - It's totally disgusting and bizarre to see the #internet acting like this.   Even the video of her saying she was ESCAPING from him to a room disregards the common sense of that situation which happens to many people on a daily basis.  Also #WomenInTech,1,1,0,0
79,You're a true queen ,0,1,0,0
80,"This is really amazing what you wrote  @realamberheard . There are really thousands of people who are being bullied by some bad ones. It is great you raised the voice, now this might stop",1,1,0,0
81,"These are just some of the Sunday Times' Women of the Year for 2020.  To see the full list, visit the article. Or tell us who we might have missed below:",0,1,0,0
82,"I Love You Amber. We are with you all the way. Don't feel sad about any of it. Feel PROUD. Cause I know I feel so proud for You my Lady. Cause that's what You are. A Lady. A Brave Lady to whom I bow and Respect. And I am a man. So know, that there are …See More",1,1,0,0
83,hey whasap whit you? aint gona post something friend?,0,1,0,0
84,I love you,0,1,0,0
85,Just want to say you are gorgeous... even as a zombie in zombieland haha!!!!,,1,0,0
86,"Oh, let's alllllllllllllll rush over here to FB because of some tweet that wasn't quite thought out, you people all are horrible, nasty and inappropriate because while you're over here calling names and being rude, you're kind of advocating the same thing you're all riled up about jeeeeeeeezzzzzzzzzzzz",0.5,0.5,0,0
87,"Nice. Also, Love to hear of your admiration for the great novelist Ayn Rand. She was a great thinker. Her Egoism is a powerful tool. God bless. For new fans: www.aynrand.org Thank you $",0,1,0,0
88,OK COOL,0,0,0,0
89,When arrive the next movie with you Amber ? I saw you the first time in Machete 2 “awesome”,0,1,0,0
90,O' tay!,0,0,0,0
91,i love you,0,1,0,0
92,"Think this is the official fb Amber Heard,yeah!.Like that first name Amber.AM then BER.Green is a GO colour.GO-GO-GO with the acting Amber.The world is a stage.To be a actress!,or not to be a ctress!,that is the question,hey.Words from WS.Fan R.",0,1,0,0
93,You people don't know Amber and you don't know Johnny...quit acting like you're best friends with these people..tabloids are meant to stir up dramas...it is harassment what you're doing to this young woman. Their personal lives are not your business...enjoy their movies and leave them alone...omgosh what stalkers😵,1,1,0,0
94,awesome movie awesome acting,0,1,0,0
95,You know. I've never met Johnny Depp and Amber Heard and don't know them personally. Setting up a petition to have Amber fired from AQUAMAN 2 won't solve anything and why should Johnny and Amber's dispute and personal lives affect AQUAMAN 2?,1,1,0,0
96,Amber Heard Aquaman i just posted on nicoles Facebook on how much i loved #aquaman congratulations on if not one the best performances out there. You guys got this movie right. Characters were epic. As i wrote on Nicoles Facebook not one flaw. Your cha…See More,1,1,0,0
97,"You may think I'm CRAZY, but, I have enjoyed your work SINCE Pineapple Express... My name is Markus Henry McLaughlin, a Screenwriter in Boston... I plan to see Aquaman when it's on Blu-Ray... I'm too busy to go to a cinema right now, with my ""Writin…See More",1,1,0,0
98,AMBER HEARD WAS PRETTY ILOVE HER PEOPLE HAHA,0.5,1,0,0
99,"Muy bonita x fuera
Una basura x dentro
Espero encuentren una nueva Mera para Jason Momoa",0,1,0,0
100,Hi Amber,0,0,0,0
101,Amber u r cutest in the world mam,0,1,0,0
102,Happy birthday Amber Heard! Have a good time!,0,1,0,0
103,Can we friend’s,0,0.3,0,0
104,hi amberheard hru,0,0.5,0,0
105,HOT BEYBE AMBER YOU SO PRETTY AMBER HEARD HAHA HOT PRETTY AMBER HEARD,0,1,0,0
106,I want to bcome your frnd,0,0.5,0,0
107,hi! like to talked to you,0,1,0,0
108,indeed u are so cute,0,1,0,0
109,hi,0,0,0,0
110,Mam please send me a frnd request,0,0,0,0
111,New Mera 🙏.,0,1,0,0
112,"Please
Please mam
Please",0,0,0,0
113,i m your biggest fan mam,0,1,0,0
114,Please reply me mam,0,0.2,0,0
115,Please reply to my comment,0,0.2,0,0
116,"i send you real fruits�send you good luck!!!!!! i adore you,
and I will always support you in all your projects",0,1,0,0
117,Great,0,1,0,0
118,Sweet Mermaid,0,1,0,0
119,thanks,0,0.3,0,0
120,Hello make reply,0,0,0,0
121,I love you 😉😍,0,1,0,0
122,Hey Amber,0,0.4,0,0
123,So beautiful,0,1,0,0
124,"How does one make contact to photograph you?
",0,0,0,0
125,Are you still here?? Amber,0,0.5,0,0
126,"Happy Birthday Amber
Good Luck in August - may the truth reveal itself one final time",0,1,0,0
127,"Amber, your my favorite actress.
Used to be Eva Longoria, but no more.",0,1,0,0
128,I found inspiration in your 5 year relationship with Tasya van Ree after taking a Photography I class at Montclair State University. I have this assignment where I need to get readers for our my playwriting II class to be directed on Zoom by our profe…See More,0,1,0,0
129,Very nice Amber heard.,0,1,0,0
130,Love you,0,1,0,0
131,I honestly love Amber Heard ,0,1,0,0
132,Love you amber heard ,0,1,0,0
133,"Hi,
Dear amber
I truly wish you and your parents have a great year in 2020,full of luck and happiness,like what you have always been! 😉.carry on shining with lots of passion and hope.
…See More",0,1,0,0
134,"Amber, you are so gorgeous and adorable! Nobody means so much for the Films industry like you. You can easily be a super model to teach to the world what's the real beauty. What other people think or say against you is a real waste of time, you shut their mouth with millions (money) and millions of fans. I really like your style, personality and beauty. No one can deny your perfect beauty and talent. I love you ☺😍😘",1,1,0,0
135,Hi amber,0,0,0,0
136,"Tinha um endereço nessa página dizendo que vc retorna autógrafos , eu queria lhe enviar uma lembrança de aniversário , como faz pra você receber?",0,1,0,0
137,"hello there, i've been doing a painting for Amber Heard. How can i send it to her.",0,1,0,0
138,I love u Amber..u r the most beautiful actress i have seen..,0,1,0,0
139,"Hi, My name is Alaa. I am Egypt. When I was browsing on Facebook, I saw a post about what you did with the money for divorce. This is a beautiful initiative from a tender person like you. You have a good heart. Excuse me. I want to help you. I want you to help me work. Please I really need to work.",0,1,0,0
140,I fucking love Amber Heard,0,1,0,0
141,Amber stay strong,1,1,0,0
142,"Welcome to Facebook, you go girl! :)",0,1,0,0
143,Ok my friend,0,0.5,0,0
144,Most beautiful actress amber heard and Charlize Theron,0,1,0,0
145,You and Lana Dunham should do a song together or something.,0,0.5,0,0
146,Really ? Well props to you girl... hell.. your a year older than me 😂 lol,0,1,0,0
147,HI DEAR I AM YOUR BIG FAAAN,0,1,0,0
148,Hy amber you are really my heard,0,0.7,0,0
149,Wow am from Africa I was just watching aquaman...and liked it love and the movie...nice 1,0,1,0,0
150,TE AMO ,0,1,0,0
151,finally you did <3,0,0.01,0,0
152,i love you <3,0,1,0,0
153,about time ;),0,0.2,0,0
154,Love you Amber! And you have such strength.,1,1,0,0
155,I love you Angel ,0,1,0,0
156,"Love, love, love ❤",0,1,0,0
157,on t aime beaucoup amber,0,1,0,0
158,Hot,0,1,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
