year,month,cluster,n_links
2019,nov,tweets13,27
2019,nov,tweets25,5
2019,nov,tweets7,19
2019,nov,tweets18,11
2019,nov,tweets0,35
2019,nov,tweets22,10
2019,nov,tweets23,8
2019,nov,tweets1,67
2019,nov,tweets15,16
2019,dec,tweets2,2
2019,dec,tweets3,5
2019,dec,tweets4,19
2019,dec,tweets8,17
2019,dec,tweets9,1
2019,dec,tweets5,15
2019,dec,tweets6,70
2019,dec,tweets7,2
2019,dec,tweets0,9
2019,dec,tweets1,4
2020,jan,tweets2,3
2020,jan,tweets3,4
2020,jan,tweets4,6
2020,jan,tweets8,2
2020,jan,tweets10,48
2020,jan,tweets5,11
2020,jan,tweets6,2
2020,jan,tweets13,17
2020,jan,tweets7,1
2020,jan,tweets0,5
2020,jan,tweets1,4
2020,jan,tweets19,5
2020,feb,tweets223,5
2020,feb,tweets16,66
2020,feb,tweets167,6
2020,feb,tweets219,5
2020,feb,tweets41,65
2020,feb,tweets57,55
2020,feb,tweets126,8
2020,feb,tweets98,9
2020,feb,tweets20,36
2020,feb,tweets2,64
2020,feb,tweets147,6
2020,feb,tweets36,33
2020,feb,tweets110,8
2020,feb,tweets184,6
2020,feb,tweets215,5
2020,feb,tweets202,5
2020,feb,tweets60,24
2020,feb,tweets37,45
2020,feb,tweets3,72
2020,feb,tweets21,8
2020,feb,tweets150,6
2020,feb,tweets76,11
2020,feb,tweets107,10
2020,feb,tweets56,50
2020,feb,tweets131,10
2020,feb,tweets40,92
2020,feb,tweets189,5
2020,feb,tweets17,86
2020,feb,tweets95,9
2020,feb,tweets100,9
2020,feb,tweets71,7
2020,feb,tweets26,48
2020,feb,tweets141,6
2020,feb,tweets4,72
2020,feb,tweets30,30
2020,feb,tweets182,5
2020,feb,tweets205,5
2020,feb,tweets92,9
2020,feb,tweets8,10
2020,feb,tweets10,64
2020,feb,tweets47,9
2020,feb,tweets51,39
2020,feb,tweets209,5
2020,feb,tweets177,2
2020,feb,tweets198,5
2020,feb,tweets176,1
2020,feb,tweets50,141
2020,feb,tweets46,28
2020,feb,tweets11,211
2020,feb,tweets9,23
2020,feb,tweets224,5
2020,feb,tweets204,5
2020,feb,tweets117,8
2020,feb,tweets31,10
2020,feb,tweets5,113
2020,feb,tweets27,80
2020,feb,tweets70,14
2020,feb,tweets49,40
2020,feb,tweets211,5
2020,feb,tweets138,8
2020,feb,tweets114,8
2020,feb,tweets32,30
2020,feb,tweets6,459
2020,feb,tweets143,6
2020,feb,tweets24,46
2020,feb,tweets73,13
2020,feb,tweets175,1
2020,feb,tweets53,91
2020,feb,tweets45,29
2020,feb,tweets12,26
2020,feb,tweets159,6
2020,feb,tweets28,47
2020,feb,tweets90,11
2020,feb,tweets29,65
2020,feb,tweets68,14
2020,feb,tweets13,63
2020,feb,tweets44,134
2020,feb,tweets135,7
2020,feb,tweets52,56
2020,feb,tweets123,8
2020,feb,tweets103,8
2020,feb,tweets25,76
2020,feb,tweets7,11
2020,feb,tweets142,1
2020,feb,tweets33,20
2020,feb,tweets64,18
2020,feb,tweets139,6
2020,feb,tweets48,67
2020,feb,tweets197,1
2020,feb,tweets55,36
2020,feb,tweets132,7
2020,feb,tweets43,67
2020,feb,tweets165,6
2020,feb,tweets14,33
2020,feb,tweets149,6
2020,feb,tweets38,73
2020,feb,tweets108,9
2020,feb,tweets96,10
2020,feb,tweets221,6
2020,feb,tweets59,34
2020,feb,tweets128,7
2020,feb,tweets18,34
2020,feb,tweets112,7
2020,feb,tweets34,89
2020,feb,tweets0,507
2020,feb,tweets22,15
2020,feb,tweets75,12
2020,feb,tweets74,13
2020,feb,tweets152,6
2020,feb,tweets23,36
2020,feb,tweets1,245
2020,feb,tweets35,5
2020,feb,tweets113,8
2020,feb,tweets62,16
2020,feb,tweets19,76
2020,feb,tweets129,7
2020,feb,tweets220,5
2020,feb,tweets109,8
2020,feb,tweets39,5
2020,feb,tweets148,6
2020,feb,tweets81,10
2020,feb,tweets15,41
2020,feb,tweets42,19
2020,feb,tweets54,77
2020,feb,tweets172,5
2020,mar,tweets16,36
2020,mar,tweets2,37
2020,mar,tweets3,19
2020,mar,tweets21,9
2020,mar,tweets4,29
2020,mar,tweets8,72
2020,mar,tweets10,9
2020,mar,tweets11,2
2020,mar,tweets9,103
2020,mar,tweets5,33
2020,mar,tweets6,21
2020,mar,tweets12,129
2020,mar,tweets13,39
2020,mar,tweets7,2
2020,mar,tweets14,3
2020,mar,tweets0,95
2020,mar,tweets22,7
2020,mar,tweets1,40
2020,mar,tweets19,11
2020,mar,tweets15,2
2020,apr,tweets20,68
2020,apr,tweets2,127
2020,apr,tweets60,12
2020,apr,tweets37,7
2020,apr,tweets3,8
2020,apr,tweets40,7
2020,apr,tweets17,2
2020,apr,tweets8,3
2020,apr,tweets10,16
2020,apr,tweets47,7
2020,apr,tweets50,2
2020,apr,tweets46,1
2020,apr,tweets11,109
2020,apr,tweets9,3
2020,apr,tweets5,8
2020,apr,tweets6,35
2020,apr,tweets24,1
2020,apr,tweets45,7
2020,apr,tweets12,7
2020,apr,tweets13,1
2020,apr,tweets52,5
2020,apr,tweets25,31
2020,apr,tweets7,35
2020,apr,tweets33,8
2020,apr,tweets14,71
2020,apr,tweets0,140
2020,apr,tweets22,1
2020,apr,tweets1,194
2020,apr,tweets15,26
2020,may,tweets16,14
2020,may,tweets20,1
2020,may,tweets2,70
2020,may,tweets37,6
2020,may,tweets3,11
2020,may,tweets17,3
2020,may,tweets4,22
2020,may,tweets8,94
2020,may,tweets10,1
2020,may,tweets11,1
2020,may,tweets9,24
2020,may,tweets5,39
2020,may,tweets27,9
2020,may,tweets32,6
2020,may,tweets6,1
2020,may,tweets12,58
2020,may,tweets29,8
2020,may,tweets13,3
2020,may,tweets25,8
2020,may,tweets7,1
2020,may,tweets33,1
2020,may,tweets14,4
2020,may,tweets0,119
2020,may,tweets1,102
2020,may,tweets15,1
2020,jun,tweets2,9
2020,jun,tweets36,9
2020,jun,tweets3,3
2020,jun,tweets4,19
2020,jun,tweets8,6
2020,jun,tweets10,2
2020,jun,tweets11,1
2020,jun,tweets9,3
2020,jun,tweets5,4
2020,jun,tweets32,3
2020,jun,tweets6,4
2020,jun,tweets12,3
2020,jun,tweets13,53
2020,jun,tweets52,6
2020,jun,tweets25,1
2020,jun,tweets7,1
2020,jun,tweets34,1
2020,jun,tweets0,135
2020,jun,tweets23,31
2020,jun,tweets1,3
2020,jun,tweets35,9
2020,jun,tweets19,9
2020,jun,tweets15,76
2020,jul,tweets16,1
2020,jul,tweets20,42
2020,jul,tweets2,36
2020,jul,tweets3,4
2020,jul,tweets21,57
2020,jul,tweets17,1
2020,jul,tweets71,10
2020,jul,tweets26,10
2020,jul,tweets4,35
2020,jul,tweets10,6
2020,jul,tweets50,9
2020,jul,tweets11,7
2020,jul,tweets9,2
2020,jul,tweets31,1
2020,jul,tweets5,8
2020,jul,tweets6,2
2020,jul,tweets73,6
2020,jul,tweets13,1
2020,jul,tweets103,1
2020,jul,tweets25,1
2020,jul,tweets7,14
2020,jul,tweets14,25
2020,jul,tweets38,1
2020,jul,tweets18,1
2020,jul,tweets0,234
2020,jul,tweets22,1
2020,jul,tweets74,6
2020,jul,tweets1,98
2020,jul,tweets19,11
2020,jul,tweets15,55
2020,aug,tweets16,4
2020,aug,tweets20,29
2020,aug,tweets2,14
2020,aug,tweets3,14
2020,aug,tweets21,46
2020,aug,tweets17,125
2020,aug,tweets4,11
2020,aug,tweets30,7
2020,aug,tweets8,4
2020,aug,tweets10,7
2020,aug,tweets11,4
2020,aug,tweets9,9
2020,aug,tweets5,44
2020,aug,tweets27,13
2020,aug,tweets6,34
2020,aug,tweets12,172
2020,aug,tweets13,23
2020,aug,tweets7,4
2020,aug,tweets14,3
2020,aug,tweets18,5
2020,aug,tweets0,58
2020,aug,tweets22,1
2020,aug,tweets1,19
2020,aug,tweets35,1
2020,aug,tweets19,3
2020,aug,tweets15,10
2020,sep,tweets16,1
2020,sep,tweets2,96
2020,sep,tweets3,9
2020,sep,tweets17,4
2020,sep,tweets4,18
2020,sep,tweets8,3
2020,sep,tweets10,139
2020,sep,tweets11,1
2020,sep,tweets9,34
2020,sep,tweets5,39
2020,sep,tweets6,39
2020,sep,tweets13,21
2020,sep,tweets7,4
2020,sep,tweets14,2
2020,sep,tweets0,36
2020,sep,tweets22,6
2020,sep,tweets1,18
2020,sep,tweets15,14
2020,oct,tweets16,141
2020,oct,tweets20,30
2020,oct,tweets2,28
2020,oct,tweets3,13
2020,oct,tweets21,1
2020,oct,tweets17,6
2020,oct,tweets4,3
2020,oct,tweets8,33
2020,oct,tweets10,4
2020,oct,tweets11,8
2020,oct,tweets9,6
2020,oct,tweets5,13
2020,oct,tweets6,115
2020,oct,tweets12,10
2020,oct,tweets13,2
2020,oct,tweets25,1
2020,oct,tweets7,27
2020,oct,tweets14,2
2020,oct,tweets0,39
2020,oct,tweets22,1
2020,oct,tweets1,25
2020,oct,tweets19,36
2020,oct,tweets15,1
2020,nov,tweets223,8
2020,nov,tweets389,5
2020,nov,tweets235,8
2020,nov,tweets82,19
2020,nov,tweets370,6
2020,nov,tweets16,258
2020,nov,tweets472,5
2020,nov,tweets219,1
2020,nov,tweets41,17
2020,nov,tweets130,1
2020,nov,tweets425,5
2020,nov,tweets57,2
2020,nov,tweets171,1
2020,nov,tweets464,5
2020,nov,tweets106,16
2020,nov,tweets77,22
2020,nov,tweets98,17
2020,nov,tweets501,4
2020,nov,tweets20,33
2020,nov,tweets278,7
2020,nov,tweets297,7
2020,nov,tweets2,114
2020,nov,tweets147,12
2020,nov,tweets36,17
2020,nov,tweets281,8
2020,nov,tweets239,8
2020,nov,tweets61,55
2020,nov,tweets491,4
2020,nov,tweets242,9
2020,nov,tweets203,8
2020,nov,tweets468,5
2020,nov,tweets310,6
2020,nov,tweets202,8
2020,nov,tweets214,8
2020,nov,tweets428,1
2020,nov,tweets243,8
2020,nov,tweets185,9
2020,nov,tweets60,40
2020,nov,tweets392,2
2020,nov,tweets404,5
2020,nov,tweets37,65
2020,nov,tweets280,7
2020,nov,tweets3,99
2020,nov,tweets21,144
2020,nov,tweets296,7
2020,nov,tweets445,5
2020,nov,tweets150,13
2020,nov,tweets76,24
2020,nov,tweets99,19
2020,nov,tweets127,12
2020,nov,tweets56,24
2020,nov,tweets218,9
2020,nov,tweets40,61
2020,nov,tweets189,9
2020,nov,tweets473,5
2020,nov,tweets17,134
2020,nov,tweets449,6
2020,nov,tweets275,8
2020,nov,tweets95,19
2020,nov,tweets415,5
2020,nov,tweets383,5
2020,nov,tweets71,30
2020,nov,tweets229,8
2020,nov,tweets157,10
2020,nov,tweets26,70
2020,nov,tweets4,827
2020,nov,tweets268,8
2020,nov,tweets30,103
2020,nov,tweets287,7
2020,nov,tweets116,17
2020,nov,tweets67,39
2020,nov,tweets395,5
2020,nov,tweets88,19
2020,nov,tweets301,7
2020,nov,tweets356,7
2020,nov,tweets213,9
2020,nov,tweets340,6
2020,nov,tweets481,1
2020,nov,tweets194,9
2020,nov,tweets317,6
2020,nov,tweets225,8
2020,nov,tweets360,6
2020,nov,tweets92,20
2020,nov,tweets419,5
2020,nov,tweets337,6
2020,nov,tweets264,7
2020,nov,tweets458,7
2020,nov,tweets8,565
2020,nov,tweets233,9
2020,nov,tweets84,22
2020,nov,tweets376,1
2020,nov,tweets10,56
2020,nov,tweets161,10
2020,nov,tweets474,1
2020,nov,tweets47,230
2020,nov,tweets136,11
2020,nov,tweets423,5
2020,nov,tweets51,140
2020,nov,tweets209,8
2020,nov,tweets120,13
2020,nov,tweets198,10
2020,nov,tweets176,9
2020,nov,tweets199,9
2020,nov,tweets463,5
2020,nov,tweets434,5
2020,nov,tweets50,21
2020,nov,tweets208,8
2020,nov,tweets137,12
2020,nov,tweets422,5
2020,nov,tweets46,93
2020,nov,tweets160,10
2020,nov,tweets475,5
2020,nov,tweets11,50
2020,nov,tweets398,6
2020,nov,tweets232,1
2020,nov,tweets85,15
2020,nov,tweets459,5
2020,nov,tweets9,46
2020,nov,tweets336,6
2020,nov,tweets418,5
2020,nov,tweets361,6
2020,nov,tweets93,18
2020,nov,tweets316,1
2020,nov,tweets204,8
2020,nov,tweets438,5
2020,nov,tweets357,7
2020,nov,tweets212,11
2020,nov,tweets300,7
2020,nov,tweets183,9
2020,nov,tweets66,37
2020,nov,tweets117,14
2020,nov,tweets269,7
2020,nov,tweets31,16
2020,nov,tweets286,7
2020,nov,tweets140,13
2020,nov,tweets5,88
2020,nov,tweets27,59
2020,nov,tweets443,5
2020,nov,tweets70,35
2020,nov,tweets414,5
2020,nov,tweets250,7
2020,nov,tweets315,2
2020,nov,tweets196,9
2020,nov,tweets483,5
2020,nov,tweets179,9
2020,nov,tweets207,10
2020,nov,tweets342,6
2020,nov,tweets49,206
2020,nov,tweets211,9
2020,nov,tweets354,7
2020,nov,tweets246,9
2020,nov,tweets303,6
2020,nov,tweets65,39
2020,nov,tweets397,5
2020,nov,tweets114,14
2020,nov,tweets285,8
2020,nov,tweets32,46
2020,nov,tweets6,211
2020,nov,tweets143,11
2020,nov,tweets339,7
2020,nov,tweets293,7
2020,nov,tweets24,14
2020,nov,tweets155,10
2020,nov,tweets440,5
2020,nov,tweets73,1
2020,nov,tweets102,18
2020,nov,tweets417,5
2020,nov,tweets460,5
2020,nov,tweets175,10
2020,nov,tweets319,7
2020,nov,tweets437,5
2020,nov,tweets122,13
2020,nov,tweets53,43
2020,nov,tweets421,1
2020,nov,tweets45,9
2020,nov,tweets358,6
2020,nov,tweets476,5
2020,nov,tweets499,7
2020,nov,tweets12,41
2020,nov,tweets86,19
2020,nov,tweets69,38
2020,nov,tweets289,1
2020,nov,tweets159,11
2020,nov,tweets335,6
2020,nov,tweets28,186
2020,nov,tweets90,18
2020,nov,tweets227,8
2020,nov,tweets363,6
2020,nov,tweets91,19
2020,nov,tweets334,7
2020,nov,tweets29,72
2020,nov,tweets158,10
2020,nov,tweets288,9
2020,nov,tweets267,7
2020,nov,tweets87,19
2020,nov,tweets68,27
2020,nov,tweets119,13
2020,nov,tweets13,48
2020,nov,tweets477,5
2020,nov,tweets44,49
2020,nov,tweets135,11
2020,nov,tweets52,168
2020,nov,tweets436,6
2020,nov,tweets174,9
2020,nov,tweets103,16
2020,nov,tweets72,1
2020,nov,tweets441,5
2020,nov,tweets338,6
2020,nov,tweets25,144
2020,nov,tweets7,63
2020,nov,tweets284,7
2020,nov,tweets33,39
2020,nov,tweets400,7
2020,nov,tweets379,5
2020,nov,tweets396,5
2020,nov,tweets494,7
2020,nov,tweets247,8
2020,nov,tweets302,7
2020,nov,tweets139,11
2020,nov,tweets48,22
2020,nov,tweets206,8
2020,nov,tweets343,6
2020,nov,tweets197,9
2020,nov,tweets178,9
2020,nov,tweets489,5
2020,nov,tweets173,9
2020,nov,tweets431,5
2020,nov,tweets55,3
2020,nov,tweets348,7
2020,nov,tweets43,25
2020,nov,tweets165,10
2020,nov,tweets14,113
2020,nov,tweets372,1
2020,nov,tweets237,8
2020,nov,tweets149,12
2020,nov,tweets325,6
2020,nov,tweets38,42
2020,nov,tweets108,16
2020,nov,tweets221,9
2020,nov,tweets79,22
2020,nov,tweets256,8
2020,nov,tweets313,6
2020,nov,tweets217,9
2020,nov,tweets352,6
2020,nov,tweets18,28
2020,nov,tweets240,8
2020,nov,tweets305,6
2020,nov,tweets186,10
2020,nov,tweets493,4
2020,nov,tweets63,1
2020,nov,tweets283,7
2020,nov,tweets329,1
2020,nov,tweets34,316
2020,nov,tweets145,12
2020,nov,tweets450,5
2020,nov,tweets295,7
2020,nov,tweets22,77
2020,nov,tweets153,10
2020,nov,tweets446,2
2020,nov,tweets368,7
2020,nov,tweets105,19
2020,nov,tweets410,5
2020,nov,tweets369,2
2020,nov,tweets386,5
2020,nov,tweets447,6
2020,nov,tweets23,167
2020,nov,tweets1,1278
2020,nov,tweets328,7
2020,nov,tweets35,41
2020,nov,tweets113,14
2020,nov,tweets168,1
2020,nov,tweets19,110
2020,nov,tweets241,8
2020,nov,tweets304,1
2020,nov,tweets216,10
2020,nov,tweets129,12
2020,nov,tweets58,43
2020,nov,tweets345,6
2020,nov,tweets191,10
2020,nov,tweets484,4
2020,nov,tweets257,7
2020,nov,tweets312,6
2020,nov,tweets365,9
2020,nov,tweets78,6
2020,nov,tweets109,17
2020,nov,tweets298,8
2020,nov,tweets277,7
2020,nov,tweets39,29
2020,nov,tweets373,6
2020,nov,tweets236,9
2020,nov,tweets15,37
2020,nov,tweets471,5
2020,nov,tweets164,11
2020,nov,tweets42,79
2020,nov,tweets133,4
2020,nov,tweets349,1
2020,nov,tweets125,13
2020,nov,tweets467,5
2020,nov,tweets488,5
2020,dec,tweets16,12
2020,dec,tweets41,8
2020,dec,tweets20,5
2020,dec,tweets2,87
2020,dec,tweets36,8
2020,dec,tweets60,6
2020,dec,tweets3,252
2020,dec,tweets21,1
2020,dec,tweets17,5
2020,dec,tweets71,5
2020,dec,tweets26,50
2020,dec,tweets4,37
2020,dec,tweets67,6
2020,dec,tweets8,44
2020,dec,tweets10,4
2020,dec,tweets11,36
2020,dec,tweets9,303
2020,dec,tweets5,33
2020,dec,tweets6,28
2020,dec,tweets24,4
2020,dec,tweets53,1
2020,dec,tweets45,7
2020,dec,tweets12,39
2020,dec,tweets29,17
2020,dec,tweets13,9
2020,dec,tweets52,6
2020,dec,tweets72,4
2020,dec,tweets25,5
2020,dec,tweets7,13
2020,dec,tweets48,6
2020,dec,tweets55,6
2020,dec,tweets14,33
2020,dec,tweets38,9
2020,dec,tweets79,4
2020,dec,tweets18,21
2020,dec,tweets0,515
2020,dec,tweets22,27
2020,dec,tweets23,1
2020,dec,tweets1,239
2020,dec,tweets35,9
2020,dec,tweets62,6
2020,dec,tweets19,163
2020,dec,tweets39,8
2020,dec,tweets15,26
2021,jan,tweets16,24
2021,jan,tweets41,6
2021,jan,tweets20,1
2021,jan,tweets2,9
2021,jan,tweets3,123
2021,jan,tweets21,3
2021,jan,tweets17,6
2021,jan,tweets4,322
2021,jan,tweets8,47
2021,jan,tweets10,50
2021,jan,tweets11,62
2021,jan,tweets9,12
2021,jan,tweets5,24
2021,jan,tweets6,7
2021,jan,tweets24,2
2021,jan,tweets12,12
2021,jan,tweets13,2
2021,jan,tweets7,6
2021,jan,tweets18,4
2021,jan,tweets34,4
2021,jan,tweets0,201
2021,jan,tweets22,1
2021,jan,tweets1,16
2021,jan,tweets19,3
2021,jan,tweets15,6
2021,feb,tweets16,38
2021,feb,tweets77,5
2021,feb,tweets20,2
2021,feb,tweets2,33
2021,feb,tweets3,92
2021,feb,tweets21,10
2021,feb,tweets17,10
2021,feb,tweets4,6
2021,feb,tweets30,1
2021,feb,tweets67,6
2021,feb,tweets8,9
2021,feb,tweets10,27
2021,feb,tweets47,1
2021,feb,tweets51,1
2021,feb,tweets50,1
2021,feb,tweets11,6
2021,feb,tweets9,166
2021,feb,tweets31,10
2021,feb,tweets5,13
2021,feb,tweets27,14
2021,feb,tweets70,1
2021,feb,tweets32,12
2021,feb,tweets6,12
2021,feb,tweets24,2
2021,feb,tweets73,1
2021,feb,tweets12,14
2021,feb,tweets28,1
2021,feb,tweets90,5
2021,feb,tweets91,5
2021,feb,tweets29,1
2021,feb,tweets13,34
2021,feb,tweets44,11
2021,feb,tweets25,1
2021,feb,tweets7,3
