"CASE NUMBER: CL-2019-2911 -Â JOHN C. DEPP, II V. AMBER LAURA HEARD",,
Date,Documents,PDF
01/04/2022,"Defendant's Response to Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-compel-4th-int-10th-11th-RPD-praecipe-1-4-2022.pdf"" target=""_blank"">View</a>"
12/27/2021,"Defendant's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-compel-resp-14th-15th-16th-rfp-praecipe-12-27-2021.pdf"" target=""_blank"">View</a>"
12/22/2021,"Defendant's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-compel-resp-14th-15th-16th-rfp-praecipe-12-22-2021.pdf"" target=""_blank"">View</a>"
12/22/2021,"Defendant's Memorandum Supporting Motion to Compel Exhibits","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-compel-resp-14th-15th-16th-rfp-exhibits-12-22-2021.pdf"" target=""_blank"">View</a>"
12/22/2021,"Defendant's Memorandum Supporting Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-compel-resp-14th-15th-16th-rfp-12-22-2021.pdf"" target=""_blank"">View</a>"
12/22/2021,"Defendant's Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-compel-devices-os-backups-12-22-2021.pdf"" target=""_blank"">View</a>"
12/22/2021,"Plaintiff's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-compel-4th-int-10th-11th-RPD-praecipe-12-22-2021.pdf"" target=""_blank"">View</a>"
12/17/2021,"Order Dated December 17, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-12-17-2021.pdf"" target=""_blank"">View</a>"
12/10/2021,Notice,"<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/cl-2019-2911-notice-boerum-12-10-2021.pdf"" target=""_blank"">View</a>"
12/03/2021,"Plaintiff's Opposition to Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-mot-compel-11th-12th-RPD-praecipe-12-3-2021.pdf"" target=""_blank"">View</a>"
12/03/2021,"Plaintiff's Opposition to Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-mot-compel-11th-12th-RPD-12-3-2021.pdf"" target=""_blank"">View</a>"
11/24/2021,"Defendant's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-compel-11th-12th-RPD-praecipe-11-24-2021.pdf"" target=""_blank"">View</a>"
11/24/2021,"Defendant's Memorandum in Support of Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-compel-11th-12th-RPD-11-24-2021.pdf"" target=""_blank"">View</a>"
11/24/2021,"Defendant's Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-compel-11th-12th-RPD-11-24-2021.pdf"" target=""_blank"">View</a>"
11/22/2021,"Order Dated November 22, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-11-22-2021.pdf"" target=""_blank"">View</a>"
11/19/2021,"Order Dated November 19, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-11-19-2021.pdf"" target=""_blank"">View</a>"
11/08/2021,"Order Dated November 8, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-11-8-2021.pdf"" target=""_blank"">View</a>"
10/26/2021,"Foreign Subpoena for Elon Musk","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-Elon-Musk-10-26-2021.pdf"" target=""_blank"">View</a>"
10/26/2021,"Foreign Subpoena for Elon Musk","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-Elon-Musk-10-26-2021.pdf"" target=""_blank"">View</a>"
10/26/2021,"Foreign Subpoena for Tasya van Ree","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-Tasya-van-Ree-10-26-2021.pdf"" target=""_blank"">View</a>"
10/26/2021,"Foreign Subpoena for Tasya van Ree","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-Tasya-van-Ree-10-26-2021.pdf"" target=""_blank"">View</a>"
10/26/2021,"Foreign Subpoena for James Franco","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-James-Franco-10-26-2021.pdf"" target=""_blank"">View</a>"
10/26/2021,"Foreign Subpoena for James Franco","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-James-Franco-10-26-2021.pdf"" target=""_blank"">View</a>"
10/26/2021,"Foreign Subpoena for Hector Galindo","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-Hector-Galindo-10-26-2021.pdf"" target=""_blank"">View</a>"
10/26/2021,"Foreign Subpoena for Hector Galindo","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-Hector-Galindo-10-26-2021.pdf"" target=""_blank"">View</a>"
10/26/2021,"Foreign Subpoena for Jessica Kovacevic","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-Jessica-Kovacevic-10-26-2021.pdf"" target=""_blank"">View</a>"
10/26/2021,"Foreign Subpoena for Jessica Kovacevic","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-Jessica-Kovacevic-10-26-2021.pdf"" target=""_blank"">View</a>"
