"CASE NUMBER: CL-2019-2911 -Â JOHN C. DEPP, II V. AMBER LAURA HEARD",,
Date,Documents,PDF
01/21/2021,"Foreign Subpoena for Edward White","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Edward-White-1-21-2021.pdf"" target=""_blank"">View</a>"
01/21/2021,"Foreign Subpoena for Edward White &amp; Co., LLP","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Edward-White-and-Co-1-21-2021.pdf"" target=""_blank"">View</a>"
01/21/2021,"Foreign Subpoena for Jennifer Howell","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Jennifer-Howell-1-21-2021.pdf"" target=""_blank"">View</a>"
01/21/2021,"Foreign Subpoena for Tyler Hadden","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Tyler-Hadden-1-21-2021.pdf"" target=""_blank"">View</a>"
01/20/2021,"Order Dated January 20, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-calendar-control-order-1-20-2021.pdf"" target=""_blank"">View</a>"
01/15/2021,"Plaintiff's Opposition to Defendant's Motion for Order Establishing Adjudication Process for Attorneys' Fees Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-opp-mot-order-adjudication-praecipe-1-15-2021.pdf"" target=""_blank"">View</a>"
01/15/2021,"Plaintiff's Opposition to Defendant's Motion for Order Establishing Adjudication Process for Attorneys' Fees","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-opp-mot-entry-of-order-est-adjudication-process-1-15-2021.pdf"" target=""_blank"">View</a>"
01/14/2021,"Plaintiff's Motion to Deny the Remainder of Defendant's Plea in Bar Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-deny-remainder-of-plea-in-bar-praecipe-1-14-2021.pdf"" target=""_blank"">View</a>"
01/14/2021,"Plaintiff's Memorandum to Deny the Remainder of Defendant's Plea in Bar","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-memo-motion-deny-remainder-of-plea-in-bar-1-14-2021.pdf"" target=""_blank"">View</a>"
01/14/2021,"Plaintiff's Motion to Deny the Remainder of Defendant's Plea in Bar","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-deny-remainder-of-plea-in-bar-1-14-2021.pdf"" target=""_blank"">View</a>"
01/14/2021,"Order Dated January 14, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-1-14-2021.pdf"" target=""_blank"">View</a>"
01/12/2021,"Order Dated January 12, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-agreed-order-1-12-2021.pdf"" target=""_blank"">View</a>"
01/12/2021,"Foreign Subpoena for Erin Boerum","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Erin-Boerum-1-12-2021.pdf"" target=""_blank"">View</a>"
01/11/2021,"Foreign Subpoena for Christi Dembrowski","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Christi-Dembrowski-1-11-2021.pdf"" target=""_blank"">View</a>"
01/11/2021,"Foreign Subpoena for Sean Bett","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Sean-Bett-1-11-2021.pdf"" target=""_blank"">View</a>"
01/11/2021,"Foreign Subpoena for Stephen Deuters","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Stephen-Deuters-1-11-2021.pdf"" target=""_blank"">View</a>"
01/11/2021,"Foreign Subpoena for Walt Disney Motion Pictures Group","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Walt-Disney-Motion-Pictures-1-11-2021.pdf"" target=""_blank"">View</a>"
01/11/2021,"Foreign Subpoena for LAPD Discovery Section","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-LAPD-Discovery-Section-1-11-2021.pdf"" target=""_blank"">View</a>"
01/08/2021,"Plaintiff's Opposition to Defendant's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-opp-mot-compel-abide-orders-praecipe-1-8-2021.pdf"" target=""_blank"">View</a>"
01/08/2021,"Plaintiff's Opposition to Defendant's Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-opp-mot-compel-abide-orders-prod-docs-1-8-2021.pdf"" target=""_blank"">View</a>"
01/07/2021,"Foreign Subpoena for Christian Carino","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Christian-Carino-1-7-2021.pdf"" target=""_blank"">View</a>"
01/07/2021,"Foreign Subpoena for Debbie Lloyd","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Debbie-Lloyd-1-7-2021.pdf"" target=""_blank"">View</a>"
01/07/2021,"Foreign Subpoena for Jack Whigham","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Jack-Whigham-1-7-2021.pdf"" target=""_blank"">View</a>"
01/07/2021,"Foreign Subpoena for Laura Divenere","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Laura-Divenere-1-7-2021.pdf"" target=""_blank"">View</a>"
01/07/2021,"Foreign Subpoena for Michele Mulrooney","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Michele-Mulrooney-1-7-2021.pdf"" target=""_blank"">View</a>"
01/07/2021,"Foreign Subpoena for Tracey Jacobs","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Tracey-Jacobs-1-7-2021.pdf"" target=""_blank"">View</a>"
01/07/2021,"Foreign Subpoena for Wasser, Cooperman &amp; Mandles, PC","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Wasser-Cooperman-Mandles-PC-1-7-2021.pdf"" target=""_blank"">View</a>"
01/05/2021,"Order Dated January 5, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-agreed-order-1-5-2021.pdf"" target=""_blank"">View</a>"
01/04/2021,"Defendant's Memorandum in Opposition to Motion to Quash Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-opp-mot-quash-protective-order-praecipe-1-4-2021.pdf"" target=""_blank"">View</a>"
01/04/2021,"Defendant's Memorandum in Opposition to Motion to Quash","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-opp-mot-quash-and-protective-ord-1-4-2021.pdf"" target=""_blank"">View</a>"
01/04/2021,"Order Dated January 4, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-calendar-control-order-1-4-2021.pdf"" target=""_blank"">View</a>"
01/04/2021,"Opinion Letter","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/Opinions/cl-2019-2911-depp-v-heard-01-24-21.pdf"" target=""_blank"">View</a>"
12/30/2020,"Order Dated December 30, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-compel-12-30-2020.pdf"" target=""_blank"">View</a>"
12/30/2020,"Defendant's Motion for Order Establishing Adjudication Process for Attorneys' Fees Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-for-entry-of-order-for-ajudication-praecipe-12-30-2020.pdf"" target=""_blank"">View</a>"
12/30/2020,"Defendant's Memorandum for Order Establishing Adjudication Process for Attorneys' Fees","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-for-order-establish-adjudication-process-12-30-2020.pdf"" target=""_blank"">View</a>"
12/30/2020,"Defendant's Motion for Order Establishing Adjudication Process for Attorneys' Fees","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-defendant-mot-for-order-establish-adjudication-process-12-30-2020.pdf"" target=""_blank"">View</a>"
12/30/2020,"Order Dated December 30, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-calendar-control-order-12-30-2020.pdf"" target=""_blank"">View</a>"
12/29/2020,"Plaintiff's Opposition to Defendant's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-to-mot-compel-dep-sanctions-praecipe-12-29-2020.pdf"" target=""_blank"">View</a>"
12/29/2020,"Plaintiff's Opposition to Defendant's Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-opp-mot-compel-dep-sanctions-12-29-2020.pdf"" target=""_blank"">View</a>"
12/29/2020,Notice,"<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-notice-12-29-2020.pdf"" target=""_blank"">View</a>"
12/28/2020,Notice,"<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-notice-12-28-2020.pdf"" target=""_blank"">View</a>"
12/28/2020,"Affidavit of Service","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-affidavit-of-service-ACLU-12-28-2020.pdf"" target=""_blank"">View</a>"
12/23/2020,"Letter to Judge White Dated December 23, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-letter-to-Judge-White-12-23-2020.pdf"" target=""_blank"">View</a>"
12/22/2020,"Letter to Judge White Dated December 22, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-letter-to-Judge-White-12-22-2020.pdf"" target=""_blank"">View</a>"
12/22/2020,"Foreign Subpoena for iO Tillett Wright","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-io-Tillet-Wright-12-22-2020.pdf"" target=""_blank"">View</a>"
12/22/2020,"Foreign Subpoena for Tasya van Ree","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-Tasya-van-Ree-12-22-2020.pdf"" target=""_blank"">View</a>"
12/22/2020,"Foreign Subpoena for Tasya van Ree","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Tasya-van-Ree-12-22-2020.pdf"" target=""_blank"">View</a>"
12/22/2020,"Foreign Subpoena for Bianca Butti","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-Bianca-Butti-12-22-2020.pdf"" target=""_blank"">View</a>"
12/22/2020,"Foreign Subpoena for Bianca Butti","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-Bianca-Butti-12-22-2020.pdf"" target=""_blank"">View</a>"
12/22/2020,"Foreign Subpoena for Whitney Henriquez","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-Whitney-Henriquez-12-22-2020.pdf"" target=""_blank"">View</a>"
12/22/2020,"Foreign Subpoena for Whitney Henriquez","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-Whitney-Henriquez-12-22-2020.pdf"" target=""_blank"">View</a>"
12/18/2020,"Foreign Subpoena for iO Tillett Wright","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-io-Tillet-Wright-12-18-2020.pdf"" target=""_blank"">View</a>"
12/15/2020,"Foreign Subpoena for American Civil Liberties Union, Inc.","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-ACLU-12-15-2020.pdf"" target=""_blank"">View</a>"
12/15/2020,"Order Dated December 15, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2020-2911-order-12-15-2020.pdf"" target=""_blank"">View</a>"
12/14/2020,"Foreign Subpoena for Greg Williams","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Greg-Williams-12-14-2020.pdf"" target=""_blank"">View</a>"
12/14/2020,"Notice Dated December 14, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-notice-12-14-2020.pdf"" target=""_blank"">View</a>"
12/11/2020,"Defendant's Opposition to Plaintiff's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911%20-def-resp-to-mot-to-compel-praecipe-12-11-2020.pdf"" target=""_blank"">View</a>"
12/11/2020,"Defendant's Opposition to Plaintiff's Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-opp-to-mot-compel-resp-2nd-3rd-req-12-11-2020.pdf"" target=""_blank"">View</a>"
12/03/2020,"Order Dated December 3, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-calendar-control-order-12-3-2020.pdf"" target=""_blank"">View</a>"
12/01/2020,"Foreign Subpoena for Fireman's Fund Insurance Company","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Firemans-Fund-Insurance-Co-12-1-2020.pdf"" target=""_blank"">View</a>"
12/01/2020,"Foreign Subpoena for David Kipper","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-David-Kipper-12-1-2020.pdf"" target=""_blank"">View</a>"
12/01/2020,"Foreign Subpoena for Debbie Lloyd","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-Debbie-Lloyd-12-1-2020.pdf"" target=""_blank"">View</a>"
12/01/2020,"Foreign Subpoena for Raquel Pennington","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Raquel-Pennington-12-1-2020.pdf"" target=""_blank"">View</a>"
12/01/2020,"Foreign Subpoena for Melanie Inglessis","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Melanie-Inglessis-12-1-2020.pdf"" target=""_blank"">View</a>"
12/01/2020,"Foreign Subpoena for David Kipper","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-David-Kipper-12-1-2020.pdf"" target=""_blank"">View</a>"
12/01/2020,"Foreign Subpoena for Debbie Lloyd","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-Debbie-Lloyd-12-1-2020.pdf"" target=""_blank"">View</a>"
11/25/2020,"Order Dated November 25, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-11-25-2020.pdf"" target=""_blank"">View</a>"
11/23/2020,"Order Dated November 23, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-attys-fees-11-23-2020.pdf"" target=""_blank"">View</a>"
11/19/2020,"Order Dated November 19, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-calendar-control-order-11-19-2020.pdf"" target=""_blank"">View</a>"
11/18/2020,"Defendant's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-to-compel-plaintiff-abide-court-orders-praecipe-11-18-2020.pdf"" target=""_blank"">View</a>"
11/18/2020,"Defendant's Motion and Memorandum to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-memo-to-compel-plaintiff-abide-court-orders-produce-docs-sanctions-11-18-2020.pdf"" target=""_blank"">View</a>"
11/13/2020,"Plaintiff's Opposition to Defendant's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-to-motion-to-compel-praecipe-11-13-2020.pdf"" target=""_blank"">View</a>"
11/13/2020,"Plaintiff's Opposition to Defendant's Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-opp-to-mot-to-compel-8-requests-11-13-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Action Property Management","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-Action-Property-Management-LA-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Action Property Management","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-Action-Property-Management-LA-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Action Property Management","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-dep-Action-Property-Management-Irvine-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Action Property Management","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-prod-Action-Property-Management-Irvine-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Cornelius Harrell","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Cornelius-Harrell-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Wasser, Cooperman &amp; Mandles","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Wasser-Cooperman-and-Mandles-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Laura Wasser","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Laura-Wasser-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Brandon Patterson","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Brandon-Patterson-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Trinity Esparza","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Trinity-Esparza-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Alejandro Romero","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Alejandro-Romero-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Robin Baum","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Robin-Baum-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Laura Divenere","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Laura-Divenere-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Jack Whigham","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Jack-Whigham-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Christian Carino","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Christian-Carino-11-10-2020.pdf"" target=""_blank"">View</a>"
11/10/2020,"Foreign Subpoena for Tracey Jacobs","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Tracey-Jacobs-11-10-2020.pdf"" target=""_blank"">View</a>"
11/09/2020,"Plaintiff's Opposition to Reasonableness of Defendant's Attorneys' Fees and Costs","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-opp-to-reasonableness-def-atty-fees-costs-11-9-2020.pdf"" target=""_blank"">View</a>"
11/06/2020,"Order Dated November 6, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-attys-fees-11-06-2020.pdf"" target=""_blank"">View</a>"
11/06/2020,"Order Dated November 6, 2020","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-counsel-withdraw-11-06-2020.pdf"" target=""_blank"">View</a>"
11/05/2020,"Affidavit of Service for Raquel Pennington","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-affidavit-of-svc-Raquel-Pennington-11-5-2020.pdf"" target=""_blank"">View</a>"
11/05/2020,"Affidavit of Service for iO Tillet Wright","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-affidavit-of-svc-iO-Tillett-Wright-11-5-2020.pdf"" target=""_blank"">View</a>"
11/05/2020,"Affidavit of Service for Tasya Van Ree","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-affidavit-of-svc-Tasya-Van-Ree-11-5-2020.pdf"" target=""_blank"">View</a>"
11/02/2020,"Consent Motion to Withdraw as Counsel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-consent-mot-to-withdraw-counsel-11-2-2020.pdf"" target=""_blank"">View</a>"
11/02/2020,"Declaration of J. Benjamin Rottenborn","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-declaration-of-J-Benjamin-Rottenborn-11-2-2020.pdf"" target=""_blank"">View</a>"
10/29/2020,"Foreign Subpoena for Tracey Jacobs","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Tracey-Jacobs-10-29-2020.pdf"" target=""_blank"">View</a>"
10/29/2020,"Foreign Subpoena for Christian Carino","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Christian-Carino-10-29-2020.pdf"" target=""_blank"">View</a>"
10/29/2020,"Foreign Subpoena for Jack Whigham","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Jack-Whigham-10-29-2020.pdf"" target=""_blank"">View</a>"
10/29/2020,"Foreign Subpoena for Laura Divenere","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Laura-Divenere-10-29-2020.pdf"" target=""_blank"">View</a>"
10/29/2020,"Plaintiff's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-to-compel-praecipe-10-29-2020.pdf"" target=""_blank"">View</a>"
10/29/2020,"Plaintiff's Memorandum in Support of Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-memo-supp-mot-to-compel-prod-docs-interrogs-10-29-2020.pdf"" target=""_blank"">View</a>"
10/29/2020,"Plaintiff's Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-compel-prod-docs-interrogs-10-29-2020.pdf"" target=""_blank"">View</a>"
10/28/2020,"Plaintiff's Opposition to Reasonableness of Defendant's Attorneys' Fees and Costs","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-opp-to-reasonablesness-def-atty-fees-costs-10-28-2020.pdf"" target=""_blank"">View</a>"
10/27/2020,"Plaintiff's Motion for Protective Order Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-for-protective-ord-praecipe-10-27-2020.pdf"" target=""_blank"">View</a>"
