,shared_url,n_shared,from_n_users,users,n_urls,platform,from,id/url,text,n_likes,n_replies,total,url_id
41,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,"('UCCpwUMt6Ra-k1FzdGlTR8Zw',)",{1},youtube,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,23.0,,23.0,instagram_comments_4_months_14
42,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,"('UCCpwUMt6Ra-k1FzdGlTR8Zw',)",{1},youtube,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,23.0,,23.0,instagram_comments_4_months_15
43,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,"('UCCpwUMt6Ra-k1FzdGlTR8Zw',)",{1},youtube,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,23.0,,23.0,instagram_comments_4_months_16
44,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,"('UCCpwUMt6Ra-k1FzdGlTR8Zw',)",{1},youtube,comment,2.515802777203286e+18,@martinabuguen0 www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,9.0,,9.0,instagram_comments_4_months_26
45,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,"('UCCpwUMt6Ra-k1FzdGlTR8Zw',)",{1},youtube,comment,2.515802777203286e+18,@martinabuguen0 www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,9.0,,9.0,instagram_comments_4_months_27
46,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,"('UCCpwUMt6Ra-k1FzdGlTR8Zw',)",{1},youtube,comment,2.515802777203286e+18,@martinabuguen0 www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,9.0,,9.0,instagram_comments_4_months_28
47,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,6,1,"(2226100100.0,)",{1},instagram,comment,2.517016217125287e+18,@yuliannagonca https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,61.0,,61.0,instagram_comments_4_months_5
48,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,6,1,"(2226100100.0,)",{1},instagram,comment,2.517016217125287e+18,@dan_mgf https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,22.0,,22.0,instagram_comments_4_months_18
49,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,6,1,"(2226100100.0,)",{1},instagram,comment,2.517016217125287e+18,@dan_mgf https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,22.0,,22.0,instagram_comments_4_months_19
50,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,6,1,"(2226100100.0,)",{1},instagram,comment,2.517016217125287e+18,@dan_mgf https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,22.0,,22.0,instagram_comments_4_months_20
