,index,from,to,label
340,340,10221192,17919245,1
341,341,10221192,1862812592,1
342,342,10221192,2204760643,1
343,343,10221192,2221551307,1
344,344,10221192,2226315845,1
345,345,10221192,2243581098,1
346,346,10221192,2252233292,1
347,347,10221192,2271185906,1
348,348,10221192,229992790,1
349,349,10221192,2323007258,1
350,350,10221192,2330367908,1
351,351,10221192,244317966,1
352,352,10221192,315435190,1
353,353,10221192,377684929,1
354,354,10221192,477856294,1
355,355,10221192,494664486,1
356,356,10221192,516161167,1
357,357,10221192,59598109,1
358,358,10221192,620485042,1
359,359,10221192,75129857,1
360,360,10222202,1059510637,1
361,361,10222202,110817238,1
362,362,10222202,1374771788,1
363,363,10222202,1405479373,1
364,364,10222202,1533420156,1
365,365,10222202,1622600377,1
366,366,10222202,1721757516,1
367,367,10222202,17919245,1
368,368,10222202,1862812592,1
369,369,10222202,2204760643,1
370,370,10222202,2221551307,1
371,371,10222202,2226315845,1
372,372,10222202,2243581098,1
373,373,10222202,2252233292,1
374,374,10222202,2271185906,1
375,375,10222202,229992790,1
376,376,10222202,2323007258,1
377,377,10222202,2330367908,1
378,378,10222202,244317966,1
379,379,10222202,315435190,1
380,380,10222202,377684929,1
381,381,10222202,477856294,1
382,382,10222202,494664486,1
383,383,10222202,516161167,1
384,384,10222202,59598109,1
385,385,10222202,620485042,1
386,386,10222202,75129857,1
387,387,1022427654,1059850938,1
388,388,1022427654,115431538,1
389,389,1022427654,1224688176,1
390,390,1022427654,1229929848,1
391,391,1022427654,1264420340,1
392,392,1022427654,1420293852,1
393,393,1022427654,144821654,1
394,394,1022427654,150002753,1
395,395,1022427654,1536616267,1
396,396,1022427654,1575253928,1
397,397,1022427654,171512769,1
398,398,1022427654,178834501,1
399,399,1022427654,1925394541,1
400,400,1022427654,2159147289,1
401,401,1022427654,216390136,1
402,402,1022427654,2224491793,1
403,403,1022427654,2235006895,1
404,404,1022427654,2242553432,1
405,405,1022427654,225040262,1
406,406,1022427654,226722816,1
407,407,1022427654,234117464,1
408,408,1022427654,2341679863,1
409,409,1022427654,241199527,1
410,410,1022427654,258040843,1
411,411,1022427654,278993602,1
412,412,1022427654,305988596,1
413,413,1022427654,319554696,1
414,414,1022427654,325806543,1
415,415,1022427654,338928425,1
416,416,1022427654,363616669,1
417,417,1022427654,370648868,1
418,418,1022427654,373488864,1
419,419,1022427654,385412955,1
420,420,1022427654,414970051,1
421,421,1022427654,420031362,1
422,422,1022427654,436865595,1
423,423,1022427654,443979541,1
424,424,1022427654,453491616,1
425,425,1022427654,543741715,1
426,426,1022427654,601468701,1
427,427,1022427654,603333573,1
428,428,1022427654,713614492,1
429,429,1022427654,853088881,1
430,430,1022427654,887685271,1
431,431,1022427654,975282806,1
432,432,1022531238,109650206,1
433,433,1022531238,31288570,1
434,434,1022531238,349529341,1
435,435,1022531238,818281219,1
436,436,102821149,1190907073,1
437,437,102821149,1392022208,1
438,438,102821149,15362867,1
439,439,102821149,19884456,1
440,440,102821149,204972881,1
441,441,102821149,223033627,1
442,442,102821149,25201902,1
443,443,102821149,27381076,1
444,444,102821149,27868334,1
445,445,102821149,285230589,1
446,446,102821149,351331868,1
447,447,102821149,35537206,1
448,448,102821149,418388667,1
449,449,102821149,483257610,1
450,450,102821149,51045567,1
451,451,102821149,57781489,1
452,452,102821149,605173878,1
453,453,102821149,70948191,1
454,454,102821149,76976952,1
455,455,102821149,8713942,1
456,456,102821149,997289742,1
457,457,1028931548,1479063409,1
458,458,1028931548,1673865085,1
459,459,1028931548,22296482,1
460,460,1028931548,2246399891,1
461,461,1028931548,2275213500,1
